,Title,Author,Year,Rating,Raters,Genres
925,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,2009,3.73,577374,"Fiction,Mystery,Thriller,Thriller,Suspense,Adventure,Historical,Mystery,Novels,Adult"
926,"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,2019,3.74,38368,"Fantasy,Young Adult,Historical,Historical,Young Adult,Fiction,LGBT,Romance,Fantasy,Audiobook"
927,The BFG (Paperback),Roald Dahl,1982,4.22,445044,"Fantasy,Childrens,Fiction,Classics,Childrens,Young Adult,Humor,Adventure,Audiobook,Childrens"
928,Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.88,84081,"Horror,Fiction,Science Fiction,Science Fiction,Adult,Thriller,Audiobook,Contemporary,Dark,Speculative Fiction"
929,The Art Book (Paperback),Phaidon Press,1997,3.85,151085,"Art,Nonfiction,Reference,Art,History,Art,Design,Art,Art and Photography,Art"
930,Never Split the Difference: Negotiating As If Your Life Depended On It (Hardcover),Chris Voss,2016,4.37,118895,"Business,Nonfiction,Psychology,Self Help,Self Help,Leadership,Language,Audiobook,Business,Business"
931,Never Split the Difference: Negotiating As If Your Life Depended On It (Hardcover),Chris Voss,2016,4.37,118895,"Business,Nonfiction,Psychology,Self Help,Self Help,Leadership,Language,Audiobook,Business,Business"
932,Never Split the Difference: Negotiating As If Your Life Depended On It (Hardcover),Chris Voss,2016,4.37,118895,"Business,Nonfiction,Psychology,Self Help,Self Help,Leadership,Language,Audiobook,Business,Business"
933,The Book of Cold Cases (Hardcover),Simone St. James,2022,3.82,73302,"Mystery,Thriller,Thriller,Fiction,Horror,Fantasy,Audiobook,Adult,Suspense,Mystery"
936,A Confederacy of Dunces (Paperback),John Kennedy Toole,1980,3.88,258651,"Fiction,Classics,Humor,Literature,Humor,Novels,Literature,Literary Fiction,Audiobook,Contemporary"
937,The Library Book (Hardcover),Susan Orlean,2018,3.9,104910,"Nonfiction,History,Writing,Audiobook,Crime,Adult,Historical,Mystery,Mystery,Book Club"
938,"Crave (Crave, #1)",Tracy Wolff,2020,3.82,107211,"Fantasy,Romance,Young Adult,Fantasy,Paranormal,Fiction,Audiobook,Romance,Young Adult,Fantasy"
939,Half of a Yellow Sun (Hardcover),Chimamanda Ngozi Adichie,2006,4.33,139786,"Fiction,Historical,Cultural,Western Africa,War,Historical,Audiobook,Literature,Contemporary,Novels"
940,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,1995,4.12,411917,"Nonfiction,Autobiography,Biography,Psychology,Biography,Sociology,Adult,Biography Memoir,Crime,True Story"
941,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,1996,3.86,79789,"Fantasy,Young Adult,Fiction,Adventure,Historical,Young Adult,Fantasy,Fantasy,Audiobook,Childrens"
942,We Are Okay (Hardcover),Nina LaCour,2017,3.95,76992,"Young Adult,Contemporary,LGBT,Fiction,LGBT,LGBT,Health,Romance,Realistic Fiction,Audiobook"
943,Sh*t My Dad Says (Hardcover),Justin Halpern,2010,3.98,153387,"Humor,Nonfiction,Autobiography,Humor,Biography,Audiobook,Adult,Family,Biography Memoir,Biography"
944,"The Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,0,3.59,4301,"Fantasy,Fiction,Fantasy,Fantasy,Science Fiction Fantasy,Adult,Fantasy,Epic,Adventure,Novels"
945,"The Good Daughter (Good Daughter, #1)",Karin Slaughter,2017,4.13,147491,"Thriller,Mystery,Fiction,Thriller,Audiobook,Mystery,Suspense,Adult,Contemporary,Thriller"
946,The Story of My Life (Paperback),Helen Keller,1902,4.07,143485,"Nonfiction,Biography,Classics,Autobiography,History,Biography,Biography Memoir,Historical,Disability,Audiobook"
